country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.086,,,,,,0.237,,,,,0.317,,,,,,,,0.244,,,,,,0.297,,,,
Pakistan,,,,,,,,,0.055,,,,,,0.054,,,,,0.033,,,,,0.091,,,,,0.145,0.118,,0.219,,0.178,0.13,0.239,,0.17,,0.276,,0.321,,,0.26,0.296,0.27,,,,0.29,0.354,0.32,,,,0.342
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.172,,,0.328,,,,0.21,,,0.223,,,,,,,,
Palestine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.452,,,,0.514,,,,0.506,,0.502,,,,0.525,,,,0.572,,,,
Panama,,,,,,,,,,,,,,,,0.539,,,0.606,,,,,0.582,0.582,,,,,,,,,,,,,,,,,,,,,,,,0.522,,,,0.628,,,,,
Papua New Guinea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259,0.259,,,,,,,,,0.324,0.324,,,,,,,,,,,
Paraguay,,,,,,,,,,,,,,,,,0.286,,0.377,,,,,,,,0.448,,,0.484,,,,,,0.559,,0.618,,,,,,0.728,,,,0.794,,,,,,,,0.684,,
Peru,,,,,,,,,,0.26,,,,,,,,0.314,,,0.41,,,,,0.458,,,,,,0.59,,,,0.642,,,,0.689,,,,0.705,0.713,0.713,,0.724,0.732,0.744,0.754,0.755,0.74,0.746,0.746,0.762,0.754,
Philippines,,,,,,,,0.154,,,,,,,,,,0.362,,,,,,,,0.436,,0.362,,,,,0.4,,0.507,0.481,0.47,0.478,0.493,0.47,0.495,0.488,0.489,0.493,0.493,0.506,,0.507,,,0.489,,0.551,,,,0.541,
Poland,,,,,,,,,,,,0.6,,,,,0.75,,,,,,,,,,,,,,0.727,,,,,,,,,,,,,,,,,,,,0.506,,,0.623,,,,
Portugal,,,,,,,,,,,,,,,,,,,,0.763,,,,,,,,,,,,,,,,,0.788,,,,,,,,,0.868,,,,,,,,0.739,,,,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,0.323,,,,,,,,,,,0.432,,,,,,,,,,,,,,0.375,,,,,,
Romania,,,,,,,,,,,,,,,,,,0.58,,,,,,,,,,,,,,,0.573,,,,,,0.638,,,,,0.703,0.698,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.625,0.668,0.634,0.653,,,,,,,,0.685,,,0.632,,,0.649,0.68,,,,,,,
